learner_id,learner_archetype,kmeans,hierarchical_clustering,dbscan
L001,plateau_learner,2,4,0
L002,grammar_weak,0,4,0
L003,slow_learner,3,2,-1
L004,reading_weak,2,0,0
L005,plateau_learner,0,1,0
L006,grammar_weak,1,0,0
L007,fast_improver,4,1,0
L008,grammar_weak,0,4,0
L009,grammar_weak,1,3,0
L010,listening_weak,0,4,0
L011,balanced_learner,4,1,0
L012,slow_learner,3,2,-1
L013,grammar_weak,0,4,-1
L014,fast_improver,4,1,0
L015,plateau_learner,0,4,0
L016,fast_improver,4,1,-1
L017,vocabulary_weak,0,0,0
L018,plateau_learner,1,4,0
L019,vocabulary_weak,1,3,0
L020,slow_learner,3,2,-1
L021,listening_weak,1,3,0
L022,vocabulary_weak,1,0,0
L023,vocabulary_weak,1,3,0
L024,fast_improver,4,1,0
L025,balanced_learner,4,1,0
L026,plateau_learner,4,3,0
L027,grammar_weak,2,0,0
L028,balanced_learner,4,3,-1
L029,listening_weak,2,0,0
L030,reading_weak,2,0,0
L031,vocabulary_weak,2,0,0
L032,balanced_learner,4,1,0
L033,balanced_learner,4,1,0
L034,vocabulary_weak,1,3,0
L035,grammar_weak,2,0,0
L036,vocabulary_weak,2,0,0
L037,grammar_weak,2,0,0
L038,listening_weak,1,3,0
L039,fast_improver,4,1,0
L040,balanced_learner,2,4,0
L041,fast_improver,1,3,0
L042,listening_weak,0,4,0
L043,vocabulary_weak,0,1,0
L044,plateau_learner,1,3,0
L045,vocabulary_weak,1,3,0
L046,reading_weak,2,0,0
L047,listening_weak,0,4,0
L048,plateau_learner,2,4,0
L049,balanced_learner,4,1,0
L050,balanced_learner,4,1,0
L051,vocabulary_weak,1,3,0
L052,fast_improver,4,1,0
L053,vocabulary_weak,2,0,0
L054,grammar_weak,2,0,0
L055,grammar_weak,2,0,0
L056,listening_weak,1,3,0
L057,balanced_learner,4,1,0
L058,balanced_learner,1,4,0
L059,balanced_learner,4,1,0
L060,listening_weak,0,4,0
L061,grammar_weak,1,3,0
L062,slow_learner,3,2,-1
L063,reading_weak,2,0,0
L064,vocabulary_weak,2,0,0
L065,slow_learner,3,2,-1
L066,balanced_learner,4,1,-1
L067,vocabulary_weak,1,3,0
L068,grammar_weak,1,3,0
L069,slow_learner,3,2,-1
L070,plateau_learner,4,3,0
L071,listening_weak,2,0,0
L072,vocabulary_weak,1,3,0
L073,reading_weak,2,0,0
L074,grammar_weak,1,3,0
L075,balanced_learner,4,1,0
L076,vocabulary_weak,2,0,0
L077,vocabulary_weak,2,0,0
L078,plateau_learner,0,4,0
L079,vocabulary_weak,1,3,0
L080,reading_weak,2,0,0
L081,vocabulary_weak,2,0,0
L082,fast_improver,4,1,0
L083,vocabulary_weak,2,0,0
L084,vocabulary_weak,2,0,0
L085,slow_learner,3,2,-1
L086,reading_weak,2,0,0
L087,plateau_learner,0,4,0
L088,plateau_learner,1,3,0
L089,grammar_weak,2,0,0
L090,balanced_learner,4,1,0
L091,plateau_learner,1,3,0
L092,listening_weak,2,0,0
L093,plateau_learner,4,1,0
L094,grammar_weak,1,3,0
L095,grammar_weak,1,3,0
L096,plateau_learner,4,1,0
L097,reading_weak,1,3,-1
L098,reading_weak,2,0,0
L099,reading_weak,2,0,0
L100,listening_weak,0,3,0
